File,Line,Index,Context
wiki/Bay_of_ConcepciC3B3n.html,6,422,"egories"":[""Coordinates on Wikidata"",""All stub articles"",""Landfor"
wiki/Bay_of_ConcepciC3B3n.html,45,628,"78-sj18-04-quiriquina.jpg 2x"" data-file-width=""960"" data-file-he"
wiki/Bay_of_ConcepciC3B3n.html,45,650,"jpg 2x"" data-file-width=""960"" data-file-height=""1192"" /></a>"
wiki/Bay_of_ConcepciC3B3n.html,58,447,"aps, aerial photos, and other data for this location""><span clas"
wiki/Bay_of_ConcepciC3B3n.html,58,692,"aps, aerial photos, and other data for this location"">36.683°S 7"
wiki/Bay_of_ConcepciC3B3n.html,60,18,"<table class=""metadata plainlinks stub"" role=""presen"
wiki/Bay_of_ConcepciC3B3n.html,62,568,"o_Region%2C_Chile.svg.png 2x"" data-file-width=""600"" data-file-he"
wiki/Bay_of_ConcepciC3B3n.html,62,590,"png 2x"" data-file-width=""600"" data-file-height=""400"" /></a></td>"
wiki/Bay_of_ConcepciC3B3n.html,105,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/Bay_of_ConcepciC3B3n.html,105,748,"tegory:Coordinates_on_Wikidata"" title=""Category:Coordinates on W"
wiki/Bay_of_ConcepciC3B3n.html,105,789,"tegory:Coordinates on Wikidata"">Coordinates on Wikidata</a></li>"
wiki/Bay_of_ConcepciC3B3n.html,105,814,"idata"">Coordinates on Wikidata</a></li><li><a href=""/wiki/Catego"
wiki/Bay_of_ConcepciC3B3n.html,188,1039,"a href=""https://www.wikidata.org/wiki/Q4874197"" title=""Link to c"
wiki/Bay_of_ConcepciC3B3n.html,188,1088,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/Bay_of_ConcepciC3B3n.html,188,1132," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/Bay_of_ConcepciC3B3n.html,205,125,"><a href=""https://www.wikidata.org/wiki/Q4874197#sitelinks-wikip"
wiki/Bye_My_Boy.html,276,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/Bye_My_Boy.html,359,999,"a href=""https://www.wikidata.org/wiki/Q5003998"" title=""Link to c"
wiki/Bye_My_Boy.html,359,1048,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/Bye_My_Boy.html,359,1092," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/Bye_My_Boy.html,376,125,"><a href=""https://www.wikidata.org/wiki/Q5003998#sitelinks-wikip"
wiki/Valentin_Yanin.html,101,323,"=""external text"" href=""http://data.bnf.fr/ark:/12148/cb120449899"
wiki/Valentin_Yanin.html,101,360,"f.fr/ark:/12148/cb120449899"">(data)</a></span></span></li>"
wiki/Valentin_Yanin.html,144,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/Valentin_Yanin.html,227,1007,"a href=""https://www.wikidata.org/wiki/Q1980377"" title=""Link to c"
wiki/Valentin_Yanin.html,227,1056,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/Valentin_Yanin.html,227,1100," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/Valentin_Yanin.html,244,125,"><a href=""https://www.wikidata.org/wiki/Q1980377#sitelinks-wikip"
wiki/Kings_XI_Punjab_in_2014.html,221,487,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,221,510,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,229,487,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,229,510,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,237,485,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,237,508,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,245,449,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,245,472,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,253,451,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,253,474,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,269,485,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,269,508,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,277,449,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,277,472,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,293,451,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,293,474,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,301,451,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,301,474,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,317,485,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,317,508,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,325,451,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,325,474,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,341,449,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,341,472,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,374,459,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,374,482,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,376,498,"Flag_of_Sri_Lanka.svg.png 2x"" data-file-width=""1200"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,376,521,"ng 2x"" data-file-width=""1200"" data-file-height=""600"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,381,465,"-Flag_of_Barbados.svg.png 2x"" data-file-width=""1500"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,381,488,"ng 2x"" data-file-width=""1500"" data-file-height=""1000"" /></a></sp"
wiki/Kings_XI_Punjab_in_2014.html,383,525,"g_of_South_Africa.svg.png 2x"" data-file-width=""900"" data-file-he"
wiki/Kings_XI_Punjab_in_2014.html,383,547,"png 2x"" data-file-width=""900"" data-file-height=""600"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,388,492,"ag_of_New_Zealand.svg.png 2x"" data-file-width=""1200"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,388,515,"ng 2x"" data-file-width=""1200"" data-file-height=""600"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,390,446,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,390,469,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,395,501,"g_of_South_Africa.svg.png 2x"" data-file-width=""900"" data-file-he"
wiki/Kings_XI_Punjab_in_2014.html,395,523,"png 2x"" data-file-width=""900"" data-file-height=""600"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,397,447,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,397,470,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,402,423,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-h"
wiki/Kings_XI_Punjab_in_2014.html,402,446,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></spa"
wiki/Kings_XI_Punjab_in_2014.html,564,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/Kings_XI_Punjab_in_2014.html,647,1043,"a href=""https://www.wikidata.org/wiki/Q24907011"" title=""Link to "
wiki/Kings_XI_Punjab_in_2014.html,647,1093,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/Kings_XI_Punjab_in_2014.html,647,1137," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/Kings_XI_Punjab_in_2014.html,664,124,"><a href=""https://www.wikidata.org/wiki/Q24907011#sitelinks-wiki"
wiki/William_Harvey_Lillard.html,45,226,"ight=""250"" class=""thumbimage"" data-file-width=""220"" data-file-he"
wiki/William_Harvey_Lillard.html,45,248,"bimage"" data-file-width=""220"" data-file-height=""250"" /></a>"
wiki/William_Harvey_Lillard.html,65,176,"=""external text"" href=""http://data.memberclicks.com/site/ahc/Chi"
wiki/William_Harvey_Lillard.html,81,178,"=""external text"" href=""http://data.memberclicks.com/site/ahc/Chi"
wiki/William_Harvey_Lillard.html,129,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/William_Harvey_Lillard.html,212,1039,"a href=""https://www.wikidata.org/wiki/Q8010993"" title=""Link to c"
wiki/William_Harvey_Lillard.html,212,1088,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/William_Harvey_Lillard.html,212,1132," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/William_Harvey_Lillard.html,229,124,"><a href=""https://www.wikidata.org/wiki/Q8010993#sitelinks-wikip"
wiki/Radial_Road_3.html,52,1061,"pines--2015-0428--ls-.jpg 2x"" data-file-width=""3648"" data-file-h"
wiki/Radial_Road_3.html,52,1084,"pg 2x"" data-file-width=""3648"" data-file-height=""2736"" /></a>"
wiki/Radial_Road_3.html,103,453,"pg/440px-STAR_tollway.jpg 2x"" data-file-width=""2048"" data-file-h"
wiki/Radial_Road_3.html,103,476,"pg 2x"" data-file-width=""2048"" data-file-height=""1536"" /></a>"
wiki/Radial_Road_3.html,301,441,"x-Autoroute_icone.svg.png 2x"" data-file-width=""128"" data-file-he"
wiki/Radial_Road_3.html,301,463,"png 2x"" data-file-width=""128"" data-file-height=""128"" /></a></div"
wiki/Radial_Road_3.html,505,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/Radial_Road_3.html,588,1003,"a href=""https://www.wikidata.org/wiki/Q25339476"" title=""Link to "
wiki/Radial_Road_3.html,588,1053,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/Radial_Road_3.html,588,1097," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/Radial_Road_3.html,605,125,"><a href=""https://www.wikidata.org/wiki/Q25339476#sitelinks-wiki"
wiki/George_Weldrick.html,194,40,"atlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-normal"
wiki/George_Weldrick.html,277,1011,"a href=""https://www.wikidata.org/wiki/Q5546140"" title=""Link to c"
wiki/George_Weldrick.html,277,1060,"itle=""Link to connected data repository item [g]"" accesskey=""g"">"
wiki/George_Weldrick.html,277,1104," [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><a hre"
wiki/George_Weldrick.html,294,124,"><a href=""https://www.wikidata.org/wiki/Q5546140#sitelinks-wikip"
